CodVenta;Provincia;Vendedor;FormaPago;Producto;Categoria; Precio ; Cantidad ; Ventas 
ven004;Tumbes;Ana;Tarjeta;Cafe;Bebidas;644 ;24 ;14168 
ven009;Pasco;Ana;Tarjeta;Aceite;Aceite;299 ;81 ;53452 
ven018;Pasco;Ana;Tarjeta;Almejas;Sopas;135 ;97 ;24640 
ven019;Pasco;Ana;Cheque;Almejas;Sopas;135 ;43 ;14616 
ven025;Pasco;Ana;Cheque;TeVerde;Bebidas;42 ;77 ;20608 
ven028;Pasco;Ana;Tarjeta;Almejas;Sopas;135 ;60 ;11754 
ven041;Pasco;Ana;Tarjeta;SalsaCurry;Salsas;560 ;27 ;6300 
ven045;Pasco;Ana;Tarjeta;CiruelasSecas;FrutasSecas;49 ;20 ;12024 
ven047;Pasco;Ana;Cheque;Carne;Carne_Enlatada;258 ;71 ;25245 
ven052;Tumbes;Ana;Cheque;Cafe;Bebidas;644 ;28 ;16486 
ven055;Tumbes;Ana;Efectivo;Cafe;Bebidas;644 ;57 ;18018 
ven071;Pasco;Ana;Efectivo;CiruelasSecas;FrutasSecas;49 ;42 ;2142 
ven073;Pasco;Ana;Efectivo;CiruelasSecas;FrutasSecas;49 ;44 ;2842 
ven083;Tumbes;Ana;Tarjeta;Cafe;Bebidas;644 ;86 ;1323 
ven085;Pasco;Ana;Tarjeta;CiruelasSecas;FrutasSecas;35 ;96 ;87318 
ven086;Tumbes;Ana;Tarjeta;Almejas;Sopas;135 ;74 ;62370 
ven089;Tumbes;Ana;Tarjeta;Carne;Carne_Enlatada;258 ;98 ;10948 
ven090;Tumbes;Ana;Tarjeta;Cafe;Bebidas;644 ;34 ;9450 
ven092;Tumbes;Ana;Tarjeta;Almejas;Sopas;135 ;33 ;15015 
ven095;Pasco;Ana;Efectivo;CiruelasSecas;FrutasSecas;49 ;31 ;16653 
ven106;Pasco;Ana;Tarjeta;Aceite;Aceite;299 ;97 ;8232 
ven109;Pasco;Ana;Efectivo;JaleaFresa;Mermelada_Jaleas;350 ;13 ;12460 
ven110;Pasco;Ana;Tarjeta;SalsaCurry;Salsas;560 ;78 ;12600 
ven111;Pasco;Ana;Efectivo;Almejas;Sopas;135 ;25 ;30184 
ven113;Pasco;Ana;Tarjeta;TeVerde;Bebidas;42 ;52 ;10690 
ven117;Pasco;Ana;Tarjeta;Aceite;Aceite;299 ;69 ;54320 
ven125;Pasco;Ana;Tarjeta;Carne;Carne_Enlatada;258 ;93 ;17472 
ven128;Pasco;Ana;Efectivo;SalsaCurry;Salsas;560 ;72 ;23751 
ven131;Tumbes;Ana;Tarjeta;Carne;Carne_Enlatada;39 ;21 ;3391 
ven137;Pasco;Ana;Efectivo;Almejas;Sopas;135 ;37 ;36708 
ven145;Tumbes;Ana;Cheque;Cafe;Bebidas;21 ;96 ;792 
ven146;Pasco;Ana;Tarjeta;JaleaFresa;Mermelada_Jaleas;350 ;18 ;13860 
ven150;Tumbes;Ana;Efectivo;Almejas;Sopas;135 ;68 ;21280 
ven153;Pasco;Ana;Efectivo;SalsaCurry;Salsas;560 ;67 ;7448 
ven155;Tumbes;Ana;Tarjeta;Cafe;Bebidas;644 ;17 ;6955 
ven158;Pasco;Ana;Efectivo;TeVerde;Bebidas;42 ;49 ;4379 
ven163;Tumbes;Ana;Tarjeta;Almejas;Sopas;135 ;60 ;963 
ven166;Pasco;Ana;Cheque;JaleaFresa;Mermelada_Jaleas;350 ;21 ;3360 
ven169;Pasco;Ana;Tarjeta;TeVerde;Bebidas;42 ;64 ;18032 
ven170;Tumbes;Ana;Tarjeta;Almejas;Sopas;135 ;97 ;3626 
ven179;Tumbes;Ana;Efectivo;Cafe;Bebidas;644 ;36 ;15590 
ven195;Tumbes;Ana;Tarjeta;Carne;Carne_Enlatada;258 ;100 ;5359 
ven198;Pasco;Ana;Efectivo;Carne;Carne_Enlatada;258 ;39 ;1071 
ven213;Pasco;Ana;Tarjeta;CiruelasSecas;FrutasSecas;49 ;91 ;2112 
ven218;Tumbes;Ana;Efectivo;Carne;Carne_Enlatada;258 ;47 ;2058 
ven224;Pasco;Ana;Efectivo;Aceite;Aceite;299 ;54 ;3430 
ven227;Pasco;Ana;Efectivo;TeVerde;Bebidas;42 ;100 ;16464 
ven234;Pasco;Ana;Efectivo;Carne;Carne_Enlatada;258 ;12 ;13154 
ven235;Tumbes;Ana;Efectivo;Carne;Carne_Enlatada;258 ;25 ;2432 
ven236;Pasco;Ana;Tarjeta;Aceite;Aceite;299 ;90 ;19320 
ven241;Pasco;Ana;Tarjeta;Almejas;Sopas;135 ;87 ;816 
ven246;Pasco;Ana;Cheque;Carne;Carne_Enlatada;258 ;64 ;2512 
ven247;Tumbes;Ana;Efectivo;Cafe;Bebidas;644 ;96 ;33600 
ven256;Tumbes;Ana;Tarjeta;Carne;Carne_Enlatada;258 ;86 ;4998 
ven258;Pasco;Ana;Tarjeta;CiruelasSecas;FrutasSecas;49 ;28 ;43092 
ven259;Tumbes;Ana;Efectivo;Almejas;Sopas;135 ;46 ;6215 
ven268;Tumbes;Ana;Efectivo;Cafe;Bebidas;644 ;32 ;7319 
ven271;Pasco;Ana;Cheque;Almejas;Sopas;135 ;71 ;20624 
ven277;Tumbes;Ana;Efectivo;Almejas;Sopas;135 ;98 ;4458 
ven284;Pasco;Ana;Tarjeta;TeVerde;Bebidas;20 ;50 ;10268 
ven291;Pasco;Ana;Efectivo;SalsaCurry;Salsas;560 ;60 ;3684 
ven294;Pasco;Ana;Efectivo;Aceite;Aceite;299 ;60 ;84 
ven299;Pasco;Ana;Cheque;SalsaCurry;Salsas;560 ;97 ;7319 
ven300;Pasco;Ana;Tarjeta;Almejas;Sopas;135 ;19 ;10360 
ven301;Pasco;Ana;Cheque;Aceite;Aceite;299 ;36 ;8106 
ven304;Pasco;Ana;Efectivo;TeVerde;Bebidas;42 ;60 ;48720 
ven308;Tumbes;Ana;Tarjeta;Cafe;Bebidas;644 ;43 ;12494 
ven310;Tumbes;Ana;Cheque;Cafe;Bebidas;644 ;16 ;26880 
ven311;Tumbes;Ana;Tarjeta;Cafe;Bebidas;644 ;74 ;3648 
ven312;Pasco;Ana;Cheque;SalsaCurry;Salsas;560 ;61 ;18290 
ven320;Pasco;Ana;Efectivo;TeVerde;Bebidas;42 ;53 ;7056 
ven321;Pasco;Ana;Efectivo;CiruelasSecas;FrutasSecas;49 ;71 ;19964 
ven325;Pasco;Ana;Efectivo;TeVerde;Bebidas;42 ;88 ;1842 
ven328;Tumbes;Ana;Cheque;Carne;Carne_Enlatada;258 ;32 ;53508 
ven330;Pasco;Ana;Tarjeta;Aceite;Aceite;299 ;49 ;2800 
ven331;Pasco;Ana;Tarjeta;Almejas;Sopas;135 ;46 ;13104 
ven333;Tumbes;Ana;Cheque;Carne;Carne_Enlatada;258 ;80 ;26303 
ven334;Pasco;Ana;Tarjeta;Carne;Carne_Enlatada;258 ;65 ;26880 
ven336;Pasco;Ana;Efectivo;CiruelasSecas;FrutasSecas;49 ;74 ;10304 
ven337;Tumbes;Ana;Tarjeta;Almejas;Sopas;26 ;49 ;6182 
